ReviewID,Content,Score,Thumbs up,Username
" 29260e12-7751-424b-a14a-83654adcdd70,:"," Update 02/28/23 Thecl recent fix by removing the OnePlus account from your mobile phone setting and signing into to the app actually worked. Took 2 months to figure out. It works for now. 3 stars. Recent update made the watch useless in terms of Smart features. First the OnePlus Pro buds went bad and now the watch. Ive Been around OnePlus since the 3T, quality has declined over the years. Disappointed in OnePlus, dont think Ill be supporting or recommending their products moving forward.,",3,5, Wayne Guyse (Wayne Jr.)
" 14bf4ef7-09c3-4101-a498-405b183eb3ce,:"," At starting it was all ok, but now its connecting to the app, again and again have to reset and connect to it. As a constant OnePlus user Im very much disappointed with it My request is to fix the bug very quick and show the new features added to it And anyone can please tell me how to enable stress mode on the OnePlus fitness band,",1,2, Garou_Esports_ Gamer
" 18433e40-eac2-4bbe-8b57-e8ec3f977c44,:"," UPDATE - If you uninstall the app and your watch no longer works, you can at least get it to work again by going into the app settings and allowing the permissions manually. The all still will not work and youll be stuck on account settings but its better than before. App does not work and now my watch is literally a brick. I uninstalled the app and I made it even worse. Glad I bought a useless watch,",1,0, Hamilton Roark
" c7915fbd-7f49-4ee9-a8c2-d766e678d755,:"," Cant describe my experience as I havent been able to open the app. I have emailed OnePlus and also used the email address on the app. Not heard anything from anyone. I currently have a £150 watch that I cant use. Im not happy or impressed at this moment in time. All Im getting is a black screen with a loading circle. It never progresses from that.,",1,37, sandra narraway (emeraldgem)
" 2c7d3082-28ad-45b0-9812-25ad677c5a7f,:"," The app does not seem to have any functionality any longer. The watch is stuck and wont move past the setup screen even after selecting Reset to Default option. This is after it successfully pairs with the phone. The app shows only one screen, with no option of how to access the watch itself. Extremely poor. Would have rated zero. Updated as on 19.12.2022 Never thought the OnePlus Team would be so tardy. I spoke with the Contact Center Team and was asked to wait for them to sort it out.,",1,326, Amit Sarasan
" 652a3554-e1b3-4aa5-ba9a-1cceebec4435,:"," Latest version has rendered the app and therefore my watch unusable for fitness tracking. OnePlus was once great, but almost every single software product has become absolutely garbage in the last year or so.,",1,1, Elijah Martin
" c1d1c821-2223-4b6b-b547-4e58d69a9795,:"," Its been a year Im using the OnePlus Watch and it feels so disappointed to see other cheap watch gives more premium looks and features while this one has no new watch faces updated from past 1 year also it disappoints the very slow updates of the OnePlus Health app and its really sad to know they have a slowest developer team in the Market. So please I would not recommend you guys to buy the OnePlus Smart Watches.,",1,0, Suket Vyas
" 2b93a5af-219a-4093-bd4a-2651e3e8f483,:"," Whats going on one plus, the app doesnt work I uninstalled and reinstalled and the app just glitches. If you want to keep customers this isnt helping, the watch is now just a paper weight. Can I just send the watch back and get a refund?,",1,0, Hell Yeah Gallo!
" 32b08a2b-d7ae-4a9a-9f54-340103fb1d5b,:"," Updated app doesnt work in Android 13 it just displays a blank screen after login and I am stuck with a band which needs pairing after reset. By the way I use a samsung phone has no oneplus account linked in my phone.,",1,0, Joel Joe Pious
" d672893f-ae8c-4f6e-ac96-4ce95cb757d9,:"," The watch was worth the investment when I bought it. However it just refuses to connect anymore and is currently stuck to the one interface. So I am just limited to use ot when i am going on walks.,",2,0, Vasudha Pathak
" fe9275d9-bc44-40f3-b5a4-c7dee80154fa,:"," I just upgraded from a Nord N20 to a 10 Pro 5G. Ive heard of issues, but have not had issues. Did have issues at first but logged out of one plus account on my phone and did the login via the app it worked and the watch is my favorite thing . Very helpful for my lifestyle.,",4,0, Eli J.
" 5236256f-97ec-46c2-b9f6-6aef46bbd692,:"," It seems to be an issue with the health app and the OnePlus account (in my experience, after an OS update) Go to your OnePlus account on your phone and sign out. (OnePlus 9 Settings>Users & Accounts) Sign back into your account through the health app. If you need to re-pair a watch, follow the below steps",3,0, Roderick Moorvan
" f33b9331-ecdc-4e2d-b997-00be39d345a2,:"," The rating is for the developers of the app. I am assuming OnePlus laid off the testers. I have a one plus watch cobalt special edition which Ive been using since 1½ years. Never used the app much, just to track some data. Now I switched to an iPhone and I still want to use my watch. But guess what !!!! The app doesnt even open. You install from app store and it doesnt open, crashes in a jiffy.,",1,0, karthi keyan
" f1cbe7c8-4e42-4355-b608-602257690d83,:"," I loved this app and one plus watches and brand in general. However, after the most recent update this app is completely unusable, just sits there as a blanks black screen and the one plus health logo at the bottom. This is on a OnePlus 10T,",1,0, Courtney Williamson
" b02826a0-cfb0-4b0d-aecf-d239ef6a23ed,:"," App has been broken for months. Cant change watch face. You would think oneplus would prioritize fixing an app that affects an entire product of theirs, so I dont know whats taking them so long to fix this,",1,1, Quartz Toe
" 3d2ec95e-582c-4836-9c44-d8f5ebbe4480,:"," Sleep monitoring got worse with latest update. With this update ,what was good as per previous version has become worst. Im guessing if its with bands firmware update A.00_0334 update, sleep pattern started from showing many unwarranted awakings . Even a good 7+ hr sleep is being counted as a poorly rated 5 hr sleep.As per the updated fimware the readings show that I never had a good sleep ever since the update which is lol.,",1,1, DroidSyro R
" 615b99c8-2e44-4579-862d-8b88f5b27ee7,:"," The app bugs arent fixed. I cant even connect my OnePlus Watch. Oh, but you can make an avatar. 🙄 This app is utterly useless. Can not pair to OnePlus Watch. Today 02-08-2023 will not open, to change watch face, to pair with OnePlus Watch, or connect health info.,",2,1, Antonio Scott
" ce2b5270-d02a-455e-81b3-13d57ca5007a,:"," SCREEN GLITCH FIX those of you who were struggling to use this app and had to deal with the screen constantly cycling through.. the best way to fix the app is to go into your phone settings, look for accounts, find your oneplus account and sign out then sign back in. this should fix the loading glitch. it took me forever to talk to customer service to get this problem solved and all they did was tell me to restart the app, clear the data and cache. does nothing thats not the issue. I fixed it,",5,1, F3X ULTREVATUM
" 0ba47865-1019-4373-84c4-01311f3761ba,:"," Still the issue in OnePlus 10 pro. App simply doesnt work and keeps switching screens. It would be nice to be able to use the watch again.....,",1,1, Daniel Neto
" a85b4423-ac9c-49c9-b140-2df42211eaac,:"," In order to fix the app I figured out that you need to log out of your OnePlus account and then log back into it. That way you can set up the watch. Hopefully this helps out with everyone.,",3,0, Samuel Catuar
" 8eff946b-52df-4e15-b977-5bd3f3c910b7,:"," Does not even work anymore even after uninstall and installing again keeps getting black screen. Very disappointed with it. Developers do your job and fix it.,",1,0, Shaheel Gopal
" 51fd9840-1465-40be-b762-359f5970a641,:"," If the app stopped working, and it opens at account information page, with all watch features inaccessible tap sign out, open app info page, open storage, clear cache and data. Launch and it will work.,",3,0, Paul Bagley
" 6a9dc4ab-2039-4c95-976e-75e76ecb2787,:"," App doesnt work anymore (worked previously). Now my watch cant be connected to my OnePlus 9 and has become unusable because it cant establish a connection.,",1,0, Kevin Thonon
" 14d6e835-fb74-4fd4-9590-393e993a4979,:"," App does not work. Ive reset my devices and uninstalled and reinstalled the app 3 times but it still doesnt work. Its been like this for over a month now and they dont really seem to care.,",1,0, Sarah Quach
" 59d8772b-9fa0-40e9-9783-b45a66f2db81,:"," Watch is completely stopped with one screen I.e paring screen and not able to work anything on watch after using one plus health app. Worst and not recommend oneolus to anyone now onwards. Ended with giving low rating,",1,0, Hemanth kumar S
" f63e06a0-91b8-4619-9384-d9c585a1f789,:"," The whole app changed and I cant find my data. Unable to link with Google Fit. 😡 I would also like to have more control over notifications.,",1,0, JoShua David TRIMMELL
" 5de3d92b-4cba-4421-a25f-f3eb597fcf7e,:"," What a disappointment, the app crashes every time I try to open it（I have updated to the latest version as of 2/1/2023). My watch is just collecting dust without the app. Im not feeling respected as its taking them months without solving the issue.,",1,0, Meng Wanpeng
" 8563c19a-3947-4cbb-9a27-f046548d0788,:"," What a pile of garbage. Recently upgraded my phone where system has been also updated and it seems they forgot to update the app itself. It completely freezes and wont start properly which means I cant pair the OnePlus watch. Would you be so kind now to refund the watch as it is completely useless now. Honestly I have expected more from you guys.,",1,0, rafal matuszczak
" aa500a22-5a74-4504-a90d-f3754a032c58,:"," The app doesnt seem to open even after un-installing and installing it again. My one plus watch is not connecting with the app as it doesnt open. Not able to track my activities since the last few days. OnePlus please have a look into it. P.S. changed my rating coz one plus officials were really prompt in helping me out. Much appreciated. Thank you.,",5,0, Dr Shams Kazi
" d5d1c7f1-15fc-4cc2-8c0d-8aeb7b7a6586,:"," There is no activity for E-Bikes. When I track my E-Bike Ride with the bike activity, my calories are insane high. The next problem is slow gps data on the watch, the watch says open the app to update the gps data, but when I open the app it\s not refreshing the gps data. About 5-10 minutes Gps data is ready. GPS is allowed for OP Health and accuracy mode is always turned on, Battery optimize turned off. I made a factory reset on watch and phone, no changes same problem. Phone OnePlus 8T,",1,33, Kay Hetmank
" 2c6a66c2-a3b2-40a0-8c04-9bc8ac53ffc6,:"," **Just sign out and sign back in and it should connect without issues** This app has problems, but when it works its really nice. I had the same issue everyone else is having with the connection to the watch not working. Ive been trying anything in the menus given to get my watch added... I even made a omoji. Fortunately logging out and then back in did the trick.,",3,0, Difoction _
" 62b7584c-dcdf-46b7-bcc7-34570c531bfe,:"," Loop resolved, I found the solution myself with no help from developer. So now I see that it doesnt sync with Google fit... not the greatest app out there but its the only one for the OnePlus watch.,",1,1, Tartan Jo
" 14c631bd-9cb9-4da8-8529-f9a9c5cb6a4f,:"," Doesnt work at all! Im trying to open this app, but only blank screen appears. Nothing goes beyond that. I waited for very long for something to happen.,",1,0, Rajani Wasnik
" 2d391fe3-0f79-455e-acbb-4f2c77b17d8b,:"," To all having problems with the phone well took me 30 40 minutes to figure it out sign out of your account from the OnePlus uninstall the app and reboot your watch and recent everything again I got it to work telling everythings got to know so well see if it works again for how long,",1,0, rushi patel
" e2fbf2c7-1393-4aef-9112-826bb30778b4,:"," App is not working at all. I have deleted and installed it for like 100 of times. The screen is still showing blank screen,",1,1, Adarsh Prabha
" cb5f51d3-218f-4ef7-affb-fc5d4e14d2bc,:"," App stopped working, it just goes to my account with oneplus, not my watch or give me any data like sleep or movement etc. There isnt one health related thing that is accessible from this app now.,",1,1, Jordan Wagner
" 902075c6-1993-4aa8-9e92-340cae160fa1,:"," I cant connect my watch. Why would I blow my money on another round of OnePlus products in the future if you brick your app and dont fix it for well over 6 months? Please fix this. Im all for being brand loyal, but this is a little ridiculous,",1,0, clay groeschen
" 280b1ddc-1305-41b0-8196-e3eb2f404c37,:"," OnePlus Health App seems not working from months when I open,the screen got struck even after multiple times uninstalled and installed from play store.I didnt expect this from OnePlus and now am unable to use my OnePlus Watch.I dont know what to do now?,",1,1, Sandeep Sandy
" 84b2d01b-f838-4f74-b562-38887725db13,:"," I cant use my watch because the app keeps crashing. Cant get the time right because of time difference...,",1,0, Moira Smets
" 52978b38-3b00-4500-8c70-77a475e49c8b,:"," It works yall after you install it and it looks like its going crazy Got to the apps permissions by holding it and enable EVERYTHING Itll work immediately after,",4,2, Ethiel26
" 13a9026a-9f94-42cc-aa71-b7c2b46324cb,:"," I encountered the same problem some users experienced after the most recent update that we couldnt enter the regular health app but only the OnePlus account setting. The problem is fixed by logging out of the account, logging in again and reopening the app. I never had any problem using the app and I liked that I could change my watch face with the app, but please no more problems like this that really ruined my experience. And please put the solution somewhere on the official website.,",4,0, Kelisley
" 06e5c914-b412-4af4-ac62-35c07258b1a9,:"," This was a decent app to see activity on the watch, which is fantastic. However, this app no longer works. I cannot login and it wont let me log out. Uninstalled several times with no affect. Updatestill not able to open this app.for two months.,",1,2, Andy Grohe
" 6af4b0a3-57b2-4704-bfb5-582aac8b162f,:"," The new update and the app just hangs. None of the earlier problems are addressed and now it just hangs. Does not deserve even one star.,",1,24, Hormaze Todiwala
" c956d813-953c-41ad-aabd-a4226abf63ab,:"," From last few months, watch is not connecting to this app, even after reinstall. App doesnt show up next page for setup. I tried re installing this app multiple times and re seting watch but no sucess. I hope many of us are facing same. Pls report here, developer may help. Or Is there new app released replacing this i am not aware of !,",1,1, Diwakar Yadav
" 487d305f-7d56-450e-adee-6fcaacd1b4df,:"," 03/12/2022 Workout results not showing in app. Pls fix. Also add Find My Watch feature in app just like find my phone option. 30/3/2023 When can you guys fix this?,",1,0, aji ajeesh
" 5d1a8388-18c9-4e66-9907-49abd2df800c,:"," I had installed this previously as I have a one plus band but when I tried to reconnect after someday it showed blank after I went on this app. I reinstalled it but it had a big and was lagging and showing glitch. I request you to look into the issue as it would be good if you fix the bug soon thank you.,",3,10, Rakshit Phal
" 4fe08283-5f5f-47c9-a077-d2b7ad6e03de,:"," App not showing any functionality, after enter in the app its just showing white screen, also not able to watch even.,",1,0, Aryan A
" 015b644c-f590-4675-94bc-02d959b8252b,:"," Just get an Apple Watch, cause it worth every penny ..... I left a detailed review of the OnePlus Health app 2 month ago and called OnePlus customer service and nothing have been fixed. 👎👎👎 I am giving this product a fair chance to get fixed. And if the company does not take action, I will cut my losses and move to a more robust product and platform 👎👎👎,",1,1, sam shakiba
" aedc9b58-0925-4b71-b3f8-5fe4ac12aa5f,:"," Please update the app so that we can connect our watch with one plus phone. It sounds so ridiculous that one plus watch is not able to connect with latest one plus phone.,",1,0, Arpit Patel
" cc5d7a37-1ed6-4c17-970e-6d7168607710,:"," I m unable to connect my one plus watch with the app on my one plus10t 5G . Tried several times but the app is not working. Had word with customer care but they told to wait for the next update . Please resolve the issue.,",1,0, Priti Singh
" f473d291-5ad9-445c-9916-c3b86c073d28,:"," This app not have any workout modes Its have only walking and running Its not enough for all Because we always want cycling mode and ect. And this app not pairing in watch probably In workout modes,",1,0, Suhaib s
" 7088b990-5f30-49c9-8d01-5700efb35cbe,:"," I tried to reinstall app since my phone was not connecting properly, and now my watch is only showing the time without any other functions working. Please fix ASAP!,",1,0, Sierra Cuppett
" 3ab8804c-8956-4b6c-9611-107ebb97057d,:"," Update It has been 2 months, and Im still leaving my watch at home because this app is still broken down 😂 ー What is the point updating the app. Its still flashing in/out and I still cant pair my OnePlus watch.,",1,2, Ah Kai
" 899b2992-f857-41b9-9473-d888ab989aca,:"," App no longer works and is causing issues with the watch now. This is making it much easier for me to switch to Samsung S23 and new watch inatead of OnePlus 11 for my next update.,",1,0, Steve Dudek
" c81f416b-12ed-48b0-ab7c-b0e46e0d19ff,:"," This app has worked well for me until my phone was updated to android 13. Now absolutely useless for getting info from my watch of any kind. Update required to enable the features again,",1,1, Michael Hand
" 366f96df-2f6f-4b40-8a0e-963e018a8166,:"," Awful. I have just bought the watch but cant even pair with my phone as the app just looks like its glitching as soon as I go on to it. What a waste of money,",1,0, Shyleigh Quinlan
" 2acd0c72-8568-4d45-a75b-eff7181b9c71,:"," Cant even log in to the app to sync my watch. I dont know how you release a product that requires software to work when the software doesnt work at all.,",1,0, Cory Appleby
" a92a9b37-b27c-41e9-987e-e34c40cebd10,:"," The app no longer works. This also means my watch no longer works. What is the point of having a watch that will only work with the app,",1,0, Omar Abdelrehim
" 95edc7ea-4653-46e4-bef3-78f048451470,:"," It is very bad app the watch is very nice but I have to reset and connect everyday. If this function will gone so I will give 5 stares. Please give me solution how to do it,",1,0, Diya Prignesh Makwana
" 5f8757fb-39fc-41e8-8a5d-c60895d1dce5,:"," Broken by Android 13 Update OnePlus 9 Pro App is entirely broken after I updated. When I try to open, it flashes on the home page of the app before immediately reloading, rinse repeat. Have uninstalled and reinstalled multiple times. It will go through the age/gender/height/weight setup just fine but immediately bugs out past that process.,",1,2, Ben Means
" 8d646421-79b6-4ac4-bcab-2509eab01893,:"," I love the band for the price and the design of the app. The only problem is that it doesnt sync most of the time on a new day. So you have to ping your phone from the band (find my phone) and then the data starts syncing.,",5,2, Mick T
" b0ab109f-3bf6-4348-beaa-a8ffdd6acb91,:"," App doesnt work anymore on Android 13. It never opens and stays stuck on black screen. No use of having fitness band now. please resolve this problem. improve app and make compatible with latest android versions.,",1,0, bhavya nigam
" 8d2c035f-f9da-4c96-b040-d2ca3bdfab21,:"," This app was ok, but it stopped working. Seems to have a bug, doesnt work even after uninstalling reinstalling,",1,0, J
" 862a0939-5024-4919-b18e-059fdd00a76d,:"," Latest update to OS broke this app. Nothing will work. Ive uninstalled and reinstalled several times. Or wont do anything past letting you enter information. Once you try to allow notifications, it gets caught in an endless loop. Please fix this.,",1,6, K Wood
" 03f01a15-5255-4ad1-94eb-e2bd06d7c375,:"," Cant even use the functions on the app to adjust the watch because it happens every time. I no longer love my OnePlus watch. They helped with my watch problem but now my phone is linked to an account that doesnt exist and I CANT LINK THE PHONE IM USING TO MY ACCOUNT FOR THE RED CABLE CLUB. It basically makes any benefits of having a One Plus phone OBSOLETE. Ive owned almost every single model since the original One Plus One. THE COMPANY HAS GONE DOWNHILL.,",2,1, Brianne
" 27d0d152-9877-4ef5-9ebd-cb63a3974abe,:"," Used to work really well, but the latest update has made it so the app doesnt even work. Can no longer control music on my watch as its no longer linked to my Spotify. Whats even the point of having the watch if you cant reach the metrics on the app?,",1,5, Liam Mcloughlin
" 6ce1ff56-c07b-4681-8b42-d20dbcb7d645,:"," Used to work fine. But following an update, is in an endless loop of the app failing to load and then attempting to try again and repeat. In the meantime, my watch is largely useless because I can no longer connect to my phone,",1,5, Shane McQuillan
" d52e9546-596a-4d08-9e41-96c03c9f6ebc,:"," Really like my OnePlus watch. For my exercise is pretty good simple and convenient. BATERY LIFE AMAZING. Sad that, wrong doing on my part for not informed me well, I cannot use third party app. Like face app for my watch. I really love to change the faces, but I only can use the one on the OnePlus app, can only change the band of the watch.,",4,0, Clara Feliciés
" d789e11a-3794-4470-8963-415e1b0227d2,:"," The app was great. But for some reason from the previous two update it is not loading anymore. I cant change any settings in the watch for the same reason. I am sure that one plus will come up with a solution quickly.,",1,5, Conrad Cardoz
" a8452127-0462-45bc-865e-7d769faf1351,:"," Works perfectly with the OnePlus watch. I couldnt get it to work at first but just needed to sign out of the OnePlus account on my phone first. Worked fine after that. Havent checked Google fit yet but the setup and sync seem to be fine.,",4,0, Stephen Brade
" a54b1167-eeb1-4837-bbbe-b50c1743f9f9,:"," App stopped working all of a sudden, blank screen... Tried installing again, but still doesnt work. In 6 months of usage, this is the 3rd time there was some or the other problem with this app, waste of money and time.. OnePlus days are over.,",1,5, Pranjal Sharma
" 5df95f71-34d7-443d-87d9-e06a36767006,:"," OnePlus Health app has worked well for about one year. I review my exercise, pulse, oxygen, and sleep stats daily. Downloaded and installed Android 13 update yesterday to my OnePlus 10t phone, and today I absolutely can NOT access the app. Since recent reviews indicate this is a universal issue, and no outreach or remedy by developer, I will be shopping for an Apple or Garmin smartwatch.,",1,13, Evelyn Wilbur
" ef29bde0-3285-45cf-b318-455a46deb971,:"," The app doest not function anymore......there is no use of watch ......watch seems to be useless as it does not connect to phone....do something about it,",1,0, apoorv gupta
" 83c02ada-daa4-4a98-8e6e-6d86b2d22a2b,:"," App does not load on OnePlus 11, just cycles between main loading page and home screen. Unfortunately this is the only way to connect to the OnePlus Watch so my watch is now useless,",1,0, Justin Winchell
" 5c2e8c0b-d096-4627-a6bb-067910e24867,:"," Use to be good. But now just stuck in an endless loading loop no matter how many times I clear data, uninstall and reinstall.,",1,0, OnePlusZero 1plus0
